Paper title,Citing paper title
The tell-tale cube,Enhancing cubes with models to describe multidimensional data
The tell-tale cube,Assess queries for interactive analysis of data cubes
The tell-tale cube,Supporting the generation of data narratives
The tell-tale cube,Suggesting assess queries for interactive analysis of multidimensional data
The tell-tale cube,"Leveraging users' behavior, intentions and interests for enhancing Exploratory Data Analysis and Data Narration"
The tell-tale cube,A framework for crafting data narratives
The tell-tale cube,Augmenting the Knowledge Pyramid with Unconventional Data and Advanced Analytics
The tell-tale cube,Un prototipo per analizzare dati multidimensionali sulla base delle intenzioni dell'utente
Summarization and visualization of multi-level and multi-dimensional itemsets,A survey and experimental study on privacy-preserving trajectory data publishing
Summarization and visualization of multi-level and multi-dimensional itemsets,COOL: A framework for conversational OLAP
Summarization and visualization of multi-level and multi-dimensional itemsets,Colossal trajectory mining: a unifying approach to mine behavioral mobility patterns
Summarization and visualization of multi-level and multi-dimensional itemsets,Personalization of OLAP queries for hierarchical visualization under constraints
Summarization and visualization of multi-level and multi-dimensional itemsets,Serviz: A Visual Analytics System for the Analysis of Sequential Rules and its Application to Airport Ground Handling Operations
Summarization and visualization of multi-level and multi-dimensional itemsets,Mining the colossal patterns using ISSA based KMC with VGHHO clustering model for high dimensional data
Summarization and visualization of multi-level and multi-dimensional itemsets,Colossal Trajectory Mining Semantic Co-movement Pattern Mining
Summarization and visualization of multi-level and multi-dimensional itemsets,Study of effective mining algorithms for frequent itemsets
Summarization and visualization of multi-level and multi-dimensional itemsets,SeRViz: an interactive visualization framework for the analysis of sequential rules and frequent itemsets
Summarization and visualization of multi-level and multi-dimensional itemsets,Multidimensional heterogeneous medical data push in intelligent cloud collaborative management system
Summarization and visualization of multi-level and multi-dimensional itemsets,Conversational OLAP
Summarization and visualization of multi-level and multi-dimensional itemsets,Augmenting the Knowledge Pyramid with Unconventional Data and Advanced Analytics
Summarization and visualization of multi-level and multi-dimensional itemsets,A study on privacy protection techniques for spatiotemporal data
A Similarity Function for Multi-Level and Multi-Dimensional Itemsets,Summarization and visualization of multi-level and multi-dimensional itemsets
A Similarity Function for Multi-Level and Multi-Dimensional Itemsets,Augmenting the Knowledge Pyramid with Unconventional Data and Advanced Analytics
Towards a foundational API for resilient distributed systems design,Modelling and simulation of opportunistic IoT services with aggregate computing
Towards a foundational API for resilient distributed systems design,From distributed coordination to field calculus and aggregate computing
Towards a foundational API for resilient distributed systems design,Partitioned integration and coordination via the self-organising coordination regions pattern
Towards a foundational API for resilient distributed systems design,Engineering collective intelligence at the edge with aggregate processes
Towards a foundational API for resilient distributed systems design,Addressing collective computations efficiency: Towards a platform-level reinforcement learning approach
Towards a foundational API for resilient distributed systems design,Time-fluid field-based coordination through programmable distributed schedulers
Towards a foundational API for resilient distributed systems design,Self-stabilising priority-based multi-leader election and network partitioning
Towards a foundational API for resilient distributed systems design,A collective adaptive approach to decentralised k-coverage in multi-robot systems
Towards a foundational API for resilient distributed systems design,From field-based coordination to aggregate computing
Towards a foundational API for resilient distributed systems design,Field-based coordination with the share operator
Towards a foundational API for resilient distributed systems design,Self-stabilising target counting in wireless sensor networks using euler integration
Towards a foundational API for resilient distributed systems design,Practical aggregate programming with PROTELIS
