Paper title,Citing paper title
Making data platforms smarter with MOSES,837
Crop Management with the IoT: An Interdisciplinary Survey,42
A Survey and Experimental Study on Privacy-Preserving Trajectory Data Publishing,40
Towards a Conceptual Model for Data Narratives,17
Enhancing Cubes with Models to Describe Multidimensional Data,15
A-BI<sup>+</sup>: A framework for Augmented Business Intelligence,15
Trajectory-Based Spatiotemporal Entity Linking,15
Towards a foundational API for resilient distributed systems design,15
Exploiting the Internet Resources for Autonomous Robots in Agriculture,14
Towards conversational OLAP,14
Assess queries for interactive analysis of data cubes,14
Multi-sensor profiling for precision soil-moisture monitoring,13
COOL: A framework for conversational OLAP,11
"Social BI to understand the debate on vaccines on the Web and social media: unraveling the anti-, free, and pro-vax communities in Italy",9
Summarization and visualization of multi-level and multi-dimensional itemsets,9
Augmented business intelligence,7
DART: De-Anonymization of personal gazetteers through social trajectories,7
Supporting the generation of data narratives,6
Map-matching on big data: A distributed and efficient algorithm with a hidden Markov model,5
Optimizing Execution Plans in a Multistore,5
The Tell-Tale Cube,4
HAMLET: A framework for Human-centered AutoML via Structured Argumentation,4
Colossal Trajectory Mining: A unifying approach to mine behavioral mobility patterns,3
The Whys and Wherefores of Cubes,3
Suggesting Assess Queries for Interactive Analysis of Multidimensional Data,3
Insight-Based Vocalization of OLAP Sessions,3
Cost-based Optimization of Multistore Query Plans,2
OLAP Querying of Document Stores in the Presence of Schema Variety,1
A Similarity Function for Multi-Level and Multi-Dimensional Itemsets,1
Conversational OLAP in action,1
Towards a Process-Driven Design of Data Platforms,1
Explaining cube measures through Intentional Analytics,1
Conversational OLAP,0
Colossal Trajectory Mining Semantic Co-movement Pattern Mining,0
An auto-tuning process-based 3D model to forecast irrigation demand in kiwifruit,0
AutoClues: Exploring Clustering Pipelines via AutoML and Diversification,0
Automating materiality assessment with a data-driven document-based approach,0
"Data Platform Design, Management, and Optimization (DATAPLAT)",0
On the Optimization of Query Plans in Multistores (Discussion Paper),0
Fine-grained Soil Moisture Monitoring with PLUTO,0
Describing Multidimensional Data Through Highlights (Discussion Paper),0
Describing and Assessing Cubes Through Intentional Analytics,0
Process-driven design of cloud data platforms,0
Streaming Approach to Schema Profiling,0
Using Regression to Explain Cube Measures,0
VOOL: A modular insight-based framework for vocalizing OLAP sessions,0
