Paper title,Citing paper title
Making data platforms smarter with MOSES,Cost-based optimization of multistore query plans
Making data platforms smarter with MOSES,"A secured big-data sharing platform for materials genome engineering: State-of-the-art, challenges and architecture"
Making data platforms smarter with MOSES,HAMLET: A framework for Human-centered AutoML via Structured Argumentation
Making data platforms smarter with MOSES,Exploiting the Internet Resources for Autonomous Robots in Agriculture
Making data platforms smarter with MOSES,Towards Human-centric AutoML via Logic and Argumentation.
Making data platforms smarter with MOSES,Research on Mixed Transaction Analytical Data Management Oriented to Data Middle Platform
Making data platforms smarter with MOSES,Conceptual Formalization of Massive Storage for Advancing Decision-Making with Data Analytics
Making data platforms smarter with MOSES,Toward Data Lake Technologies for Intelligent Societies and Cities
Making data platforms smarter with MOSES,"Mining Data Wrangling Workflows for Patterns, Reuse and Optimisation Opportunities"
Making data platforms smarter with MOSES,Ecossistemas de big data: uma revisão sistemática
Making data platforms smarter with MOSES,On the Optimization of Query Plans in Multistores
Making data platforms smarter with MOSES,A model for automatized data integration in hadoop-based data lakes
Making data platforms smarter with MOSES,Concepts towards an automated data pre-processing and preparation within data lakes
Making data platforms smarter with MOSES,A Multi-Start Simulated Annealing Strategy for Data Lake Organization Problem
