Cited paper title,Cited paper eid,Citing paper title,Citing paper eid,Cited paper link,Citing paper link
A Survey and Experimental Study on Privacy-Preserving Trajectory Data Publishing,2-s2.0-85132525373,Frequency-based Randomization for Guaranteeing Differential Privacy in Spatial Trajectories,2-s2.0-85136425113,https://www.scopus.com/record/display.uri?eid=2-s2.0-85132525373&origin=resultslist,https://www.scopus.com/record/display.uri?eid=2-s2.0-85136425113&origin=resultslist
A Survey and Experimental Study on Privacy-Preserving Trajectory Data Publishing,2-s2.0-85132525373,Generation of Synthetic Trajectory Microdata from Language Models,2-s2.0-85138804472,https://www.scopus.com/record/display.uri?eid=2-s2.0-85132525373&origin=resultslist,https://www.scopus.com/record/display.uri?eid=2-s2.0-85138804472&origin=resultslist
A-BI<sup>+</sup>: A framework for Augmented Business Intelligence,2-s2.0-85082441558,Suggesting assess queries for interactive analysis of multidimensional data,2-s2.0-85129353199,https://www.scopus.com/record/display.uri?eid=2-s2.0-85082441558&origin=resultslist,https://www.scopus.com/record/display.uri?eid=2-s2.0-85129353199&origin=resultslist
Assess queries for interactive analysis of data cubes,2-s2.0-85113712544,Suggesting assess queries for interactive analysis of multidimensional data,2-s2.0-85129353199,https://www.scopus.com/record/display.uri?eid=2-s2.0-85113712544&origin=resultslist,https://www.scopus.com/record/display.uri?eid=2-s2.0-85129353199&origin=resultslist
Augmented business intelligence,2-s2.0-85062645475,Conversational OLAP,2-s2.0-85118769792,https://www.scopus.com/record/display.uri?eid=2-s2.0-85062645475&origin=resultslist,https://www.scopus.com/record/display.uri?eid=2-s2.0-85118769792&origin=resultslist
COOL: A framework for conversational OLAP,2-s2.0-85103428030,Suggesting assess queries for interactive analysis of multidimensional data,2-s2.0-85129353199,https://www.scopus.com/record/display.uri?eid=2-s2.0-85103428030&origin=resultslist,https://www.scopus.com/record/display.uri?eid=2-s2.0-85129353199&origin=resultslist
Crop Management with the IoT: An Interdisciplinary Survey,2-s2.0-85100942957,A Comprehensive Study on Smart Agriculture Applications in India,2-s2.0-85150639675,https://www.scopus.com/record/display.uri?eid=2-s2.0-85100942957&origin=resultslist,https://www.scopus.com/record/display.uri?eid=2-s2.0-85150639675&origin=resultslist
Enhancing Cubes with Models to Describe Multidimensional Data,2-s2.0-85107683405,Suggesting assess queries for interactive analysis of multidimensional data,2-s2.0-85129353199,https://www.scopus.com/record/display.uri?eid=2-s2.0-85107683405&origin=resultslist,https://www.scopus.com/record/display.uri?eid=2-s2.0-85129353199&origin=resultslist
Multi-sensor profiling for precision soil-moisture monitoring,2-s2.0-85129541562,A pipeline robot system for monitoring soil water content distribution,2-s2.0-85153035011,https://www.scopus.com/record/display.uri?eid=2-s2.0-85129541562&origin=resultslist,https://www.scopus.com/record/display.uri?eid=2-s2.0-85153035011&origin=resultslist
Multi-sensor profiling for precision soil-moisture monitoring,2-s2.0-85129541562,Model Application for Estimation of Agri-Environmental Indicators of Kiwi Production: A Case Study in Northern Greece,2-s2.0-85153930157,https://www.scopus.com/record/display.uri?eid=2-s2.0-85129541562&origin=resultslist,https://www.scopus.com/record/display.uri?eid=2-s2.0-85153930157&origin=resultslist
Supporting the generation of data narratives,2-s2.0-85095734112,A data narrative about tuberculosis pandemic in Gabon,2-s2.0-85130756836,https://www.scopus.com/record/display.uri?eid=2-s2.0-85095734112&origin=resultslist,https://www.scopus.com/record/display.uri?eid=2-s2.0-85130756836&origin=resultslist
The Tell-Tale Cube,2-s2.0-85090100247,Suggesting assess queries for interactive analysis of multidimensional data,2-s2.0-85129353199,https://www.scopus.com/record/display.uri?eid=2-s2.0-85090100247&origin=resultslist,https://www.scopus.com/record/display.uri?eid=2-s2.0-85129353199&origin=resultslist
Towards a Conceptual Model for Data Narratives,2-s2.0-85097380415,A data narrative about tuberculosis pandemic in Gabon,2-s2.0-85130756836,https://www.scopus.com/record/display.uri?eid=2-s2.0-85097380415&origin=resultslist,https://www.scopus.com/record/display.uri?eid=2-s2.0-85130756836&origin=resultslist
Towards a foundational API for resilient distributed systems design,2-s2.0-85035209468,On merging hidden Markov models with deformable templates,2-s2.0-0029530383,https://www.scopus.com/record/display.uri?eid=2-s2.0-85035209468&origin=resultslist,https://www.scopus.com/record/display.uri?eid=2-s2.0-0029530383&origin=resultslist
Trajectory-Based Spatiotemporal Entity Linking,2-s2.0-85096846619,An Efficient Approach for Spatial Trajectory Anonymization,2-s2.0-85121922321,https://www.scopus.com/record/display.uri?eid=2-s2.0-85096846619&origin=resultslist,https://www.scopus.com/record/display.uri?eid=2-s2.0-85121922321&origin=resultslist
Trajectory-Based Spatiotemporal Entity Linking,2-s2.0-85096846619,Frequency-based Randomization for Guaranteeing Differential Privacy in Spatial Trajectories,2-s2.0-85136425113,https://www.scopus.com/record/display.uri?eid=2-s2.0-85096846619&origin=resultslist,https://www.scopus.com/record/display.uri?eid=2-s2.0-85136425113&origin=resultslist
Trajectory-Based Spatiotemporal Entity Linking,2-s2.0-85096846619,Leveraging user itinerary to improve personalized deep matching at Fliggy,2-s2.0-85149039992,https://www.scopus.com/record/display.uri?eid=2-s2.0-85096846619&origin=resultslist,https://www.scopus.com/record/display.uri?eid=2-s2.0-85149039992&origin=resultslist
Trajectory-Based Spatiotemporal Entity Linking,2-s2.0-85096846619,Mutual Distillation Learning Network for Trajectory-User Linking,2-s2.0-85137872696,https://www.scopus.com/record/display.uri?eid=2-s2.0-85096846619&origin=resultslist,https://www.scopus.com/record/display.uri?eid=2-s2.0-85137872696&origin=resultslist
