Paper title,Citing paper title
Conversational OLAP in action,Conversational OLAP
Conversational OLAP in action,Augmenting the Knowledge Pyramid with Unconventional Data and Advanced Analytics
Conversational OLAP in action,Designing a Star Schema for Optimizing the Total Sales of Motorcycles
OLAP Querying of Document Stores in the Presence of Schema Variety,Data Warehouse Based on NoSQL: a literature mapping
OLAP Querying of Document Stores in the Presence of Schema Variety,Business Intelligence: vers un ETL à la demande sur des bases de données orientées documents
OLAP Querying of Document Stores in the Presence of Schema Variety,Ciclo de Vida de Data Warehouse baseado em NoSQL: Adaptações e Análise de Desempenho de Arquiteturas
Optimizing execution plans in a multistore,Multi-model query languages: taming the variety of big data
Optimizing execution plans in a multistore,HAMLET: A framework for Human-centered AutoML via Structured Argumentation
Optimizing execution plans in a multistore,Cost-based optimization of multistore query plans
Optimizing execution plans in a multistore,Towards Human-centric AutoML via Logic and Argumentation.
Optimizing execution plans in a multistore,On the Optimization of Query Plans in Multistores.
Describing Multidimensional Data Through Highlights,MATHEMATICAL METHODS OF MULTIDIMENSIONAL DATA INTELLIGENT ANALYSIS
A survey and experimental study on privacy-preserving trajectory data publishing,Deep learning for trajectory data management and mining: A survey and beyond
A survey and experimental study on privacy-preserving trajectory data publishing,Evolutionary dynamic database partitioning optimization for privacy and utility
A survey and experimental study on privacy-preserving trajectory data publishing,Crowdsourcing Geospatial Data for Earth and Human Observations: A Review
A survey and experimental study on privacy-preserving trajectory data publishing,Ldptrace: Locally differentially private trajectory synthesis
A survey and experimental study on privacy-preserving trajectory data publishing,DP-TrajGAN: A privacy-aware trajectory generation model with differential privacy
A survey and experimental study on privacy-preserving trajectory data publishing,Colossal trajectory mining: a unifying approach to mine behavioral mobility patterns
A survey and experimental study on privacy-preserving trajectory data publishing,Frequency-based randomization for guaranteeing differential privacy in spatial trajectories
A survey and experimental study on privacy-preserving trajectory data publishing,A privacy-aware visual query approach for location-based data
A survey and experimental study on privacy-preserving trajectory data publishing,SoK: Can Trajectory Generation Combine Privacy and Utility?
A survey and experimental study on privacy-preserving trajectory data publishing,Privacy-Preserving Data Fusion for Traffic State Estimation: A Vertical Federated Learning Approach
A survey and experimental study on privacy-preserving trajectory data publishing,Fedvae: Trajectory privacy preserving based on federated variational autoencoder
A survey and experimental study on privacy-preserving trajectory data publishing,A three-way trajectory privacy-preserving model based on multi-feature fusion
A survey and experimental study on privacy-preserving trajectory data publishing,Mining hourly population dynamics by activity type based on decomposition of sequential snapshot data
A survey and experimental study on privacy-preserving trajectory data publishing,Generation of synthetic trajectory microdata from language models
A survey and experimental study on privacy-preserving trajectory data publishing,Personalized privacy preservation in consumer mobile trajectories
A survey and experimental study on privacy-preserving trajectory data publishing,An algorithm for streaming differentially private data
A survey and experimental study on privacy-preserving trajectory data publishing,Privacy-preserving method for trajectory data publication based on local preferential anonymity
A survey and experimental study on privacy-preserving trajectory data publishing,Puts: Privacy-preserving and utility-enhancing framework for trajectory synthesization
A survey and experimental study on privacy-preserving trajectory data publishing,Trajectory privacy protection method with smart contract-based query exchange in the Social Internet of Vehicles
A survey and experimental study on privacy-preserving trajectory data publishing,May the privacy be with us: Correlated differential privacy in location data for ITS
A survey and experimental study on privacy-preserving trajectory data publishing,BiGRU-DP: Improved differential privacy protection method for trajectory data publishing
A survey and experimental study on privacy-preserving trajectory data publishing,CTPP: A Conditional Trajectory Privacy Preservation Scheme Using Blockchain in V2X
A survey and experimental study on privacy-preserving trajectory data publishing,Except-Condition Generative Adversarial Network for Generating Trajectory Data
A survey and experimental study on privacy-preserving trajectory data publishing,Efficient frequency-based randomization for spatial trajectories under differential privacy
A survey and experimental study on privacy-preserving trajectory data publishing,Understanding Privacy Risks of High-accuracy Radio Positioning and Sensing in Wireless Networks
A survey and experimental study on privacy-preserving trajectory data publishing,Addressing Data Challenges to Drive the Transformation of Smart Cities
A survey and experimental study on privacy-preserving trajectory data publishing,Automatic evaluation of disclosure risks of text anonymization methods
A survey and experimental study on privacy-preserving trajectory data publishing,PrivStream: An Algorithm for Streaming Differentially Private Data
A survey and experimental study on privacy-preserving trajectory data publishing,DPTraj-PM: Differentially Private Trajectory Synthesis Using Prefix Tree and Markov Process
A survey and experimental study on privacy-preserving trajectory data publishing,Protecting Personalized Trajectory with Differential Privacy under Temporal Correlations
A survey and experimental study on privacy-preserving trajectory data publishing,Towards Anonymizing Intermodal Mobility Data for Smart Cities
A survey and experimental study on privacy-preserving trajectory data publishing,A Privacy-Preserving Trajectory Synthesis Method Based on Vector Translation Invariance Supporting Traffic Constraints
A survey and experimental study on privacy-preserving trajectory data publishing,"Federated Learning and Privacy, Challenges, Threat and Attack Models, and Analysis"
A survey and experimental study on privacy-preserving trajectory data publishing,HyObscure: Hybrid Obscuring for Privacy-Preserving Data Publishing
A survey and experimental study on privacy-preserving trajectory data publishing,Colossal Trajectory Mining
A survey and experimental study on privacy-preserving trajectory data publishing,Reciprocal Bucketization (RB)-An Efficient Data Anonymization Model for Smart Hospital Data Publishing.
A survey and experimental study on privacy-preserving trajectory data publishing,A trajectory protection method based on differential privacy and semantic attributes
A survey and experimental study on privacy-preserving trajectory data publishing,Enhancing Efficiency and Data Utility in Longitudinal Data Anonymization
A survey and experimental study on privacy-preserving trajectory data publishing,A study on privacy protection techniques for spatiotemporal data
Multi-sensor profiling for precision soil-moisture monitoring,Internet-of-things-based multiple-sensor monitoring system for soil information diagnosis using a smartphone
Multi-sensor profiling for precision soil-moisture monitoring,Evaluation of the Accuracy of the Remote Determination of the Brewster Angle When Measuring Physicochemical Parameters of Soil
Multi-sensor profiling for precision soil-moisture monitoring,Optimization algorithm for determining working water head of subsurface irrigation with ceramic emitters based on soil wetting patterns
Multi-sensor profiling for precision soil-moisture monitoring,Model application for estimation of Agri-environmental indicators of kiwi production: a case study in Northern Greece
