Paper title,Citing paper title
Supporting the Generation of Data Narratives,Computational understanding of narratives: A survey
Supporting the Generation of Data Narratives,Enhancing cubes with models to describe multidimensional data
Supporting the Generation of Data Narratives,Fabula: Intelligence report generation using retrieval-augmented narrative construction
Supporting the Generation of Data Narratives,On the design of an interactive automatic Python programming skills assessment system
Supporting the Generation of Data Narratives,Computational narratives using model-driven engineering
Supporting the Generation of Data Narratives,A data narrative about tuberculosis pandemic in Gabon.
Supporting the Generation of Data Narratives,"Leveraging users' behavior, intentions and interests for enhancing Exploratory Data Analysis and Data Narration"
Supporting the Generation of Data Narratives,A framework for crafting data narratives
Supporting the Generation of Data Narratives,Un modèle conceptual de narration de données
Supporting the Generation of Data Narratives,Augmenting the Knowledge Pyramid with Unconventional Data and Advanced Analytics
Supporting the Generation of Data Narratives,Modéliser la démarche du data journaliste
DART: De-Anonymization of personal gazetteers through social trajectories,Toward privacy preservation using clustering based anonymization: recent advances and future research outlook
DART: De-Anonymization of personal gazetteers through social trajectories,Associated information and communication technologies challenges of smart city development
DART: De-Anonymization of personal gazetteers through social trajectories,A survey and experimental study on privacy-preserving trajectory data publishing
DART: De-Anonymization of personal gazetteers through social trajectories,Colossal trajectory mining: a unifying approach to mine behavioral mobility patterns
DART: De-Anonymization of personal gazetteers through social trajectories,Trajectory privacy protection method with smart contract-based query exchange in the Social Internet of Vehicles
DART: De-Anonymization of personal gazetteers through social trajectories,A privacy-aware zero interaction smart mobility system
DART: De-Anonymization of personal gazetteers through social trajectories,The Role of Ideology in Motivating Lone Actor Terrorism: An Analysis of the Online Record of the Christchurch Terrorist
DART: De-Anonymization of personal gazetteers through social trajectories,Colossal Trajectory Mining Semantic Co-movement Pattern Mining
DART: De-Anonymization of personal gazetteers through social trajectories,Privacy preserving location based services: From centralized to federated approaches
DART: De-Anonymization of personal gazetteers through social trajectories,Augmenting the Knowledge Pyramid with Unconventional Data and Advanced Analytics
DART: De-Anonymization of personal gazetteers through social trajectories,A study on privacy protection techniques for spatiotemporal data
Smart irrigation system for precision water management: effect on yield and fruit quality of yellow fleshed kiwifruit in northern Italy,Process-driven design of cloud data platforms
Smart irrigation system for precision water management: effect on yield and fruit quality of yellow fleshed kiwifruit in northern Italy,Towards a Process-Driven Design of Data Platforms
Smart irrigation system for precision water management: effect on yield and fruit quality of yellow fleshed kiwifruit in northern Italy,Valutazione preliminare di un sistema smart di gestione automatizzata dell'irrigazione dell'actinidia
An auto-tuning process-based 3D model to forecast irrigation demand in kiwifruit,Assessing Soil Water Dynamics in a Drip-Irrigated Grapefruit Orchard Using the HYDRUS 2D/3D Model: A Comparison of Unimodal and Bimodal Hydraulic Functions
Towards a Process-Driven Design of Data Platforms,Process-driven design of cloud data platforms
Making data platforms smarter with MOSES,A data platform for real-time monitoring and analysis of the brown marmorated stink bug in Northern Italy
Making data platforms smarter with MOSES,Exploiting the internet resources for autonomous robots in agriculture
Making data platforms smarter with MOSES,"A secured big-data sharing platform for materials genome engineering: State-of-the-art, challenges and architecture"
Making data platforms smarter with MOSES,HAMLET: A framework for Human-centered AutoML via Structured Argumentation
Making data platforms smarter with MOSES,Metadata Management in Data Lake Environments: A Survey
Making data platforms smarter with MOSES,Cost-based optimization of multistore query plans
Making data platforms smarter with MOSES,Toward data lake technologies for intelligent societies and cities
Making data platforms smarter with MOSES,Process-driven design of cloud data platforms
Making data platforms smarter with MOSES,Towards Human-centric AutoML via Logic and Argumentation.
Making data platforms smarter with MOSES,Towards a Process-Driven Design of Data Platforms
Making data platforms smarter with MOSES,Conceptual formalization of massive storage for advancing decision-making with data analytics
Making data platforms smarter with MOSES,A multi-start simulated annealing strategy for Data Lake Organization Problem
Making data platforms smarter with MOSES,"Mining Data Wrangling Workflows for Patterns, Reuse and Optimisation Opportunities."
Making data platforms smarter with MOSES,Data mesh meets blockchain
Making data platforms smarter with MOSES,Metadata Management Framework For Business Intelligence Driven Data Lakes
Making data platforms smarter with MOSES,METADATA MANAGEMENT FRAMEWORK FOR BI-DRIVEN DATA LAKES
Making data platforms smarter with MOSES,On the Optimization of Query Plans in Multistores (Discussion Paper)
Making data platforms smarter with MOSES,A multi-start simulated annealing strategy for data lake organization problem
Making data platforms smarter with MOSES,Research on mixed transaction analytical data management oriented to data middle platform
Making data platforms smarter with MOSES,Enterprise Data Warehouse Based on Data Vault 2.0 Sourced by a Data Lake: A Banking Industry use Case
Making data platforms smarter with MOSES,A model for automatized data integration in hadoop-based data lakes
Making data platforms smarter with MOSES,Ecossistemas de big data: uma revisão sistemática
Making data platforms smarter with MOSES,Design and Implementation of a Data Platform for Stream Analysis: WeLASER as a Case Study
