Paper title,Citing paper title
Making data platforms smarter with MOSES,842
A Survey and Experimental Study on Privacy-Preserving Trajectory Data Publishing,91
Crop Management with the IoT: An Interdisciplinary Survey,57
Exploiting the Internet Resources for Autonomous Robots in Agriculture,31
Multi-sensor profiling for precision soil-moisture monitoring,24
Trajectory-Based Spatiotemporal Entity Linking,22
Towards a Conceptual Model for Data Narratives,21
Enhancing Cubes with Models to Describe Multidimensional Data,18
Assess queries for interactive analysis of data cubes,17
A-BI+: A framework for Augmented Business Intelligence,17
COOL: A framework for conversational OLAP,15
Towards a foundational API for resilient distributed systems design,15
Towards conversational OLAP,14
Summarization and visualization of multi-level and multi-dimensional itemsets,10
HAMLET: A framework for Human-centered AutoML via Structured Argumentation,9
"Social BI to understand the debate on vaccines on the Web and social media: unraveling the anti-, free, and pro-vax communities in Italy",9
Map-matching on big data: A distributed and efficient algorithm with a hidden Markov model,7
Augmented business intelligence,7
DART: De-Anonymization of personal gazetteers through social trajectories,7
Colossal Trajectory Mining: A unifying approach to mine behavioral mobility patterns,7
Supporting the generation of data narratives,6
Cost-based Optimization of Multistore Query Plans,6
Optimizing Execution Plans in a Multistore,5
The Tell-Tale Cube,5
Suggesting Assess Queries for Interactive Analysis of Multidimensional Data,4
Explaining cube measures through Intentional Analytics,4
Streaming Approach to Schema Profiling,3
The Whys and Wherefores of Cubes,3
Conceptual design of multidimensional cubes with LLMs: An investigation,3
Insight-Based Vocalization of OLAP Sessions,3
AutoClues: Exploring Clustering Pipelines via AutoML and Diversification,2
An auto-tuning process-based 3D model to forecast irrigation demand in kiwifruit,2
Towards a Process-Driven Design of Data Platforms,2
Process-driven design of cloud data platforms,2
A Similarity Function for Multi-Level and Multi-Dimensional Itemsets,1
ASSO: the Automated Schemaless Stream Overseer,1
VOOL: A modular insight-based framework for vocalizing OLAP sessions,1
Conversational OLAP in action,1
OLAP Querying of Document Stores in the Presence of Schema Variety,1
Self-adaptive analytical querying over schemaless data streams,1
Automating materiality assessment with a data-driven document-based approach,1
"Data Platform Design, Management, and Optimization (DATAPLAT)",0
Conversational OLAP,0
Colossal Trajectory Mining Semantic Co-movement Pattern Mining,0
Describing Multidimensional Data Through Highlights (Discussion Paper),0
Predicting multidimensional cubes through intentional analytics,0
Prescriptive watering: Data-driven optimization of water consumption in kiwifruit orchards,0
Fine-grained Soil Moisture Monitoring with PLUTO,0
Describing and Assessing Cubes Through Intentional Analytics,0
Design of Cloud Data Platforms,0
On the Optimization of Query Plans in Multistores (Discussion Paper),0
Using Regression to Explain Cube Measures,0
