Cited paper title,Cited paper eid,Citing paper title,Citing paper eid,Cited paper link,Citing paper link
Colossal Trajectory Mining: A unifying approach to mine behavioral mobility patterns,2-s2.0-85174707802,"2nd Congress on Control, Robotics, and Mechatronics, CRM 2024",2-s2.0-85210089383,https://www.scopus.com/record/display.uri?eid=2-s2.0-85174707802&origin=resultslist,https://www.scopus.com/record/display.uri?eid=2-s2.0-85210089383&origin=resultslist
Colossal Trajectory Mining: A unifying approach to mine behavioral mobility patterns,2-s2.0-85174707802,"2nd Congress on Control, Robotics, and Mechatronics, CRM 2024",2-s2.0-85208619736,https://www.scopus.com/record/display.uri?eid=2-s2.0-85174707802&origin=resultslist,https://www.scopus.com/record/display.uri?eid=2-s2.0-85208619736&origin=resultslist
Colossal Trajectory Mining: A unifying approach to mine behavioral mobility patterns,2-s2.0-85174707802,Descriptive and Multivariate Analysis of the Pig Sector in North Macedonia and Its Implications for African Swine Fever Transmission,2-s2.0-85121241828,https://www.scopus.com/record/display.uri?eid=2-s2.0-85174707802&origin=resultslist,https://www.scopus.com/record/display.uri?eid=2-s2.0-85121241828&origin=resultslist
Colossal Trajectory Mining: A unifying approach to mine behavioral mobility patterns,2-s2.0-85174707802,Epidemiological characteristics and transmission dynamics of epidemic Japanese encephalitis in China: A modeling study,2-s2.0-105014975671,https://www.scopus.com/record/display.uri?eid=2-s2.0-85174707802&origin=resultslist,https://www.scopus.com/record/display.uri?eid=2-s2.0-105014975671&origin=resultslist
Colossal Trajectory Mining: A unifying approach to mine behavioral mobility patterns,2-s2.0-85174707802,GS-FFO Based Meta-Heuristic Clustering for Discovering Colossal Patterns in High-Dimensional Data,2-s2.0-85208624461,https://www.scopus.com/record/display.uri?eid=2-s2.0-85174707802&origin=resultslist,https://www.scopus.com/record/display.uri?eid=2-s2.0-85208624461&origin=resultslist
Colossal Trajectory Mining: A unifying approach to mine behavioral mobility patterns,2-s2.0-85174707802,HCP miner: an efficient heuristic-based clustering method for discovering colossal frequent patterns from high dimensional databases,2-s2.0-85174276954,https://www.scopus.com/record/display.uri?eid=2-s2.0-85174707802&origin=resultslist,https://www.scopus.com/record/display.uri?eid=2-s2.0-85174276954&origin=resultslist
Colossal Trajectory Mining: A unifying approach to mine behavioral mobility patterns,2-s2.0-85174707802,Heuristic-Based Clustering Approach for Discovering Colossal Patterns from High-Dimensional Databases,2-s2.0-85103443639,https://www.scopus.com/record/display.uri?eid=2-s2.0-85174707802&origin=resultslist,https://www.scopus.com/record/display.uri?eid=2-s2.0-85103443639&origin=resultslist
Colossal Trajectory Mining: A unifying approach to mine behavioral mobility patterns,2-s2.0-85174707802,"Patterns, Predictors, and Mechanisms of Injury in Libyan CrossFit Athletes: A Cross-Sectional Analysis",2-s2.0-105034211480,https://www.scopus.com/record/display.uri?eid=2-s2.0-85174707802&origin=resultslist,https://www.scopus.com/record/display.uri?eid=2-s2.0-105034211480&origin=resultslist
Conceptual design of multidimensional cubes with LLMs: An investigation,2-s2.0-105004873652,"1st International Conference on Software Engineering of Emerging Technologies, SEET 2025",2-s2.0-105027140719,https://www.scopus.com/record/display.uri?eid=2-s2.0-105004873652&origin=resultslist,https://www.scopus.com/record/display.uri?eid=2-s2.0-105027140719&origin=resultslist
Conceptual design of multidimensional cubes with LLMs: An investigation,2-s2.0-105004873652,"20th International Conference on Business Process Modeling, Development and Support, BPMDS 2019 and 24th International Conference on Evaluation and Modeling Methods for Systems Analysis and Development, EMMSAD 2019",2-s2.0-85069209400,https://www.scopus.com/record/display.uri?eid=2-s2.0-105004873652&origin=resultslist,https://www.scopus.com/record/display.uri?eid=2-s2.0-85069209400&origin=resultslist
