Paper title,Paper eid,Paper doi,Citing paper title,Citing paper eid,Citing paper doi
HAMLET: A framework for Human-centered AutoML via Structured Argumentation,2-s2.0-85145965157,10.1016/j.future.2022.12.035,,,
Trajectory-Based Spatiotemporal Entity Linking,2-s2.0-85096846619,10.1109/TKDE.2020.3036633,Colossal Trajectory Mining: A unifying approach to mine behavioral mobility patterns,2-s2.0-85174707802,10.1016/j.eswa.2023.122055
Trajectory-Based Spatiotemporal Entity Linking,2-s2.0-85096846619,10.1109/TKDE.2020.3036633,Leveraging user itinerary to improve personalized deep matching at Fliggy,2-s2.0-85149039992,10.1007/s00778-023-00787-z
Trajectory-Based Spatiotemporal Entity Linking,2-s2.0-85096846619,10.1109/TKDE.2020.3036633,A Survey and Experimental Study on Privacy-Preserving Trajectory Data Publishing,2-s2.0-85132525373,10.1109/TKDE.2022.3174204
Trajectory-Based Spatiotemporal Entity Linking,2-s2.0-85096846619,10.1109/TKDE.2020.3036633,Information Resilience: the nexus of responsible and agile approaches to information use,2-s2.0-85123164859,10.1007/s00778-021-00720-2
Trajectory-Based Spatiotemporal Entity Linking,2-s2.0-85096846619,10.1109/TKDE.2020.3036633,Trajectory-Based Spatiotemporal Entity Linking,2-s2.0-85096846619,10.1109/TKDE.2020.3036633
Trajectory-Based Spatiotemporal Entity Linking,2-s2.0-85096846619,10.1109/TKDE.2020.3036633,Spatial Data Quality in the IoT Era: Management and Exploitation,2-s2.0-85132711904,10.1145/3514221.3522568
Trajectory-Based Spatiotemporal Entity Linking,2-s2.0-85096846619,10.1109/TKDE.2020.3036633,"Spatial Data Quality in the Internet of Things: Management, Exploitation, and Prospects",2-s2.0-85137576224,10.1145/3498338
Trajectory-Based Spatiotemporal Entity Linking,2-s2.0-85096846619,10.1109/TKDE.2020.3036633,Mutual Distillation Learning Network for Trajectory-User Linking,2-s2.0-85137872696,
Trajectory-Based Spatiotemporal Entity Linking,2-s2.0-85096846619,10.1109/TKDE.2020.3036633,Frequency-based Randomization for Guaranteeing Differential Privacy in Spatial Trajectories,2-s2.0-85136425113,10.1109/ICDE53745.2022.00175
Trajectory-Based Spatiotemporal Entity Linking,2-s2.0-85096846619,10.1109/TKDE.2020.3036633,An Efficient Approach for Spatial Trajectory Anonymization,2-s2.0-85121922321,10.1007/978-3-030-90888-1_44
Multi-sensor profiling for precision soil-moisture monitoring,2-s2.0-85129541562,10.1016/j.compag.2022.106924,Comparing quasi-3D soil moisture derived from electromagnetic induction with 1D moisture sensors and correlation to barley yield in variable duplex soil,2-s2.0-85176949684,10.1016/j.still.2023.105953
Multi-sensor profiling for precision soil-moisture monitoring,2-s2.0-85129541562,10.1016/j.compag.2022.106924,Optimization algorithm for determining working water head of subsurface irrigation with ceramic emitters based on soil wetting patterns,2-s2.0-85166665907,10.1016/j.compag.2023.108069
Multi-sensor profiling for precision soil-moisture monitoring,2-s2.0-85129541562,10.1016/j.compag.2022.106924,Internet-of-Things-Based Multiple-Sensor Monitoring System for Soil Information Diagnosis Using a Smartphone,2-s2.0-85166187482,10.3390/mi14071395
Multi-sensor profiling for precision soil-moisture monitoring,2-s2.0-85129541562,10.1016/j.compag.2022.106924,A pipeline robot system for monitoring soil water content distribution,2-s2.0-85153035011,10.1016/j.jhydrol.2023.129526
Multi-sensor profiling for precision soil-moisture monitoring,2-s2.0-85129541562,10.1016/j.compag.2022.106924,Model Application for Estimation of Agri-Environmental Indicators of Kiwi Production: A Case Study in Northern Greece,2-s2.0-85153930157,10.3390/environments10040069
Multi-sensor profiling for precision soil-moisture monitoring,2-s2.0-85129541562,10.1016/j.compag.2022.106924,Fine-grained Soil Moisture Monitoring with PLUTO,2-s2.0-85173428371,
Enhancing Cubes with Models to Describe Multidimensional Data,2-s2.0-85107683405,10.1007/s10796-021-10147-3,Suggesting Assess Queries for Interactive Analysis of Multidimensional Data,2-s2.0-85129353199,10.1109/TKDE.2022.3171516
Enhancing Cubes with Models to Describe Multidimensional Data,2-s2.0-85107683405,10.1007/s10796-021-10147-3,Breaking the 80:20 rule in health research using large administrative data sets,2-s2.0-85160881368,10.1177/14604582231180581
Enhancing Cubes with Models to Describe Multidimensional Data,2-s2.0-85107683405,10.1007/s10796-021-10147-3,Describing and Assessing Cubes Through Intentional Analytics,2-s2.0-85165002810,10.48786/edbt.2023.69
Enhancing Cubes with Models to Describe Multidimensional Data,2-s2.0-85107683405,10.1007/s10796-021-10147-3,Using Regression to Explain Cube Measures,2-s2.0-85173478290,
Enhancing Cubes with Models to Describe Multidimensional Data,2-s2.0-85107683405,10.1007/s10796-021-10147-3,Assessment Methods for the Interestingness of Cube Queries,2-s2.0-85153354053,
Enhancing Cubes with Models to Describe Multidimensional Data,2-s2.0-85107683405,10.1007/s10796-021-10147-3,The Whys and Wherefores of Cubes,2-s2.0-85153334849,
Enhancing Cubes with Models to Describe Multidimensional Data,2-s2.0-85107683405,10.1007/s10796-021-10147-3,Advances on Data Management and Information Systems,2-s2.0-85125529748,10.1007/s10796-021-10235-4
Enhancing Cubes with Models to Describe Multidimensional Data,2-s2.0-85107683405,10.1007/s10796-021-10147-3,Insight-Based Vocalization of OLAP Sessions,2-s2.0-85137993971,10.1007/978-3-031-15740-0_15
Enhancing Cubes with Models to Describe Multidimensional Data,2-s2.0-85107683405,10.1007/s10796-021-10147-3,Describing Multidimensional Data Through Highlights (Discussion Paper),2-s2.0-85137469232,
COOL: A framework for conversational OLAP,2-s2.0-85103428030,10.1016/j.is.2021.101752,Suggesting Assess Queries for Interactive Analysis of Multidimensional Data,2-s2.0-85129353199,10.1109/TKDE.2022.3171516
COOL: A framework for conversational OLAP,2-s2.0-85103428030,10.1016/j.is.2021.101752,HAMLET: A framework for Human-centered AutoML via Structured Argumentation,2-s2.0-85145965157,10.1016/j.future.2022.12.035
COOL: A framework for conversational OLAP,2-s2.0-85103428030,10.1016/j.is.2021.101752,T&amp;TRS: robust collaborative filtering recommender systems against attacks,2-s2.0-85171481610,10.1007/s11042-023-16641-x
COOL: A framework for conversational OLAP,2-s2.0-85103428030,10.1016/j.is.2021.101752,Optimal Stacked Sparse Auto-encoder based Online Analytic Processing (OLAP) Hypercube Text Analysis,2-s2.0-85166634616,10.1109/ICECCT56650.2023.10179777
COOL: A framework for conversational OLAP,2-s2.0-85103428030,10.1016/j.is.2021.101752,Business-Driven Data Recommender System: Design and Implementation,2-s2.0-85165494524,10.1080/08874417.2023.2237450
COOL: A framework for conversational OLAP,2-s2.0-85103428030,10.1016/j.is.2021.101752,The Whys and Wherefores of Cubes,2-s2.0-85153334849,
COOL: A framework for conversational OLAP,2-s2.0-85103428030,10.1016/j.is.2021.101752,Insight-Based Vocalization of OLAP Sessions,2-s2.0-85137993971,10.1007/978-3-031-15740-0_15
COOL: A framework for conversational OLAP,2-s2.0-85103428030,10.1016/j.is.2021.101752,Describing Multidimensional Data Through Highlights (Discussion Paper),2-s2.0-85137469232,
COOL: A framework for conversational OLAP,2-s2.0-85103428030,10.1016/j.is.2021.101752,Conversational OLAP,2-s2.0-85118769792,
Cost-based Optimization of Multistore Query Plans,2-s2.0-85139405955,10.1007/s10796-022-10320-2,,,
Insight-Based Vocalization of OLAP Sessions,2-s2.0-85137993971,10.1007/978-3-031-15740-0_15,,,
Describing Multidimensional Data Through Highlights (Discussion Paper),2-s2.0-85137469232,,,,
A Survey and Experimental Study on Privacy-Preserving Trajectory Data Publishing,2-s2.0-85132525373,10.1109/TKDE.2022.3174204,Colossal Trajectory Mining: A unifying approach to mine behavioral mobility patterns,2-s2.0-85174707802,10.1016/j.eswa.2023.122055
A Survey and Experimental Study on Privacy-Preserving Trajectory Data Publishing,2-s2.0-85132525373,10.1109/TKDE.2022.3174204,DP-TrajGAN: A privacy-aware trajectory generation model with differential privacy,2-s2.0-85145256040,10.1016/j.future.2022.12.027
A Survey and Experimental Study on Privacy-Preserving Trajectory Data Publishing,2-s2.0-85132525373,10.1109/TKDE.2022.3174204,Privacy-Preserving Method for Trajectory Data Publication Based on Local Preferential Anonymity,2-s2.0-85151097067,10.3390/info14030157
A Survey and Experimental Study on Privacy-Preserving Trajectory Data Publishing,2-s2.0-85132525373,10.1109/TKDE.2022.3174204,Except-Condition Generative Adversarial Network for Generating Trajectory Data,2-s2.0-85174704562,10.1007/978-3-031-39821-6_23
A Survey and Experimental Study on Privacy-Preserving Trajectory Data Publishing,2-s2.0-85132525373,10.1109/TKDE.2022.3174204,Differentially Private Map Matching for Mobility Trajectories,2-s2.0-85144019298,10.1145/3564625.3567974
A Survey and Experimental Study on Privacy-Preserving Trajectory Data Publishing,2-s2.0-85132525373,10.1109/TKDE.2022.3174204,Generation of Synthetic Trajectory Microdata from Language Models,2-s2.0-85138804472,10.1007/978-3-031-13945-1_13
