Paper title,Citing paper title
Enhancing cubes with models to describe multidimensional data,Advances on data management and information systems
Enhancing cubes with models to describe multidimensional data,Suggesting assess queries for interactive analysis of multidimensional data
Enhancing cubes with models to describe multidimensional data,Breaking the 80: 20 rule in health research using large administrative data sets
Enhancing cubes with models to describe multidimensional data,The Whys and Wherefores of Cubes
Enhancing cubes with models to describe multidimensional data,Describing and Assessing Cubes Through Intentional Analytics
Enhancing cubes with models to describe multidimensional data,Insight-Based Vocalization of OLAP Sessions
Enhancing cubes with models to describe multidimensional data,Insight-Based Vocalization of OLAP Sessions
Enhancing cubes with models to describe multidimensional data,Assessment Methods for the Interestingness of Cube Queries
Enhancing cubes with models to describe multidimensional data,Describing Multidimensional Data Through Highlights
Enhancing cubes with models to describe multidimensional data,"Cube Query Interestingness: Novelty, Relevance, Peculiarity and Surprise"
Enhancing cubes with models to describe multidimensional data,Faster Access Of Credit Cards Through Data Cube Technology
"Social BI to understand the debate on vaccines on the Web and social media: unraveling the anti-, free, and pro-vax communities in Italy",Parents' decisions to vaccinate children against COVID-19: a scoping review
"Social BI to understand the debate on vaccines on the Web and social media: unraveling the anti-, free, and pro-vax communities in Italy",Multi-perspectives systematic review on the applications of sentiment analysis for vaccine hesitancy
"Social BI to understand the debate on vaccines on the Web and social media: unraveling the anti-, free, and pro-vax communities in Italy",COVID-19 fake news diffusion across Latin America
"Social BI to understand the debate on vaccines on the Web and social media: unraveling the anti-, free, and pro-vax communities in Italy",Understanding public perceptions of COVID-19 contact tracing apps: Artificial intelligence–enabled social media analysis
"Social BI to understand the debate on vaccines on the Web and social media: unraveling the anti-, free, and pro-vax communities in Italy",# Antivaccination on Instagram: A computational analysis of hashtag activism through photos and public responses
"Social BI to understand the debate on vaccines on the Web and social media: unraveling the anti-, free, and pro-vax communities in Italy",Free choice in the making: Vaccine-related activism as an alternative form of citizenship during the Covid-19 pandemic.
"Social BI to understand the debate on vaccines on the Web and social media: unraveling the anti-, free, and pro-vax communities in Italy",Conceptualizing Analytics: An Overview of Business Intelligence and Analytics from a Conceptual-Modeling Perspective
"Social BI to understand the debate on vaccines on the Web and social media: unraveling the anti-, free, and pro-vax communities in Italy",Detecting Anti-vaccine Users on Twitter
