Cited paper title,Cited paper eid,Citing paper title,Citing paper eid,Cited paper link,Citing paper link
Cost-based Optimization of Multistore Query Plans,2-s2.0-85139405955,On the Optimization of Query Plans in Multistores (Discussion Paper),2-s2.0-85173485992,https://www.scopus.com/record/display.uri?eid=2-s2.0-85139405955&origin=resultslist,https://www.scopus.com/record/display.uri?eid=2-s2.0-85173485992&origin=resultslist
DART: De-Anonymization of personal gazetteers through social trajectories,2-s2.0-85093926143,The Role of Ideology in Motivating Lone Actor Terrorism: An Analysis of the Online Record of the Christchurch Terrorist,2-s2.0-105014152044,https://www.scopus.com/record/display.uri?eid=2-s2.0-85093926143&origin=resultslist,https://www.scopus.com/record/display.uri?eid=2-s2.0-105014152044&origin=resultslist
Describing and Assessing Cubes Through Intentional Analytics,2-s2.0-85165002810,Causal Banzhaf Value for Aggregate Query Explanations,2-s2.0-86000261901,https://www.scopus.com/record/display.uri?eid=2-s2.0-85165002810&origin=resultslist,https://www.scopus.com/record/display.uri?eid=2-s2.0-86000261901&origin=resultslist
Towards a Process-Driven Design of Data Platforms,2-s2.0-85188658537,Data governance in smart farming: A systematic review of challenges and gaps,2-s2.0-105025152394,https://www.scopus.com/record/display.uri?eid=2-s2.0-85188658537&origin=resultslist,https://www.scopus.com/record/display.uri?eid=2-s2.0-105025152394&origin=resultslist
