Paper title,Citing paper title
Optimizing execution plans in a multistore,Multi-model query languages: taming the variety of big data
Optimizing execution plans in a multistore,HAMLET: A framework for Human-centered AutoML via Structured Argumentation
Optimizing execution plans in a multistore,Cost-based optimization of multistore query plans
Optimizing execution plans in a multistore,Towards Human-centric AutoML via Logic and Argumentation.
Optimizing execution plans in a multistore,On the Optimization of Query Plans in Multistores (Discussion Paper)
Streaming Approach to Schema Profiling,Impact Study of NoSQL Refactoring in SkyServer Database
Streaming Approach to Schema Profiling,Dynamic Stream Clustering for Real-Time Schema Profiling with Dsc+
Summarization and visualization of multi-level and multi-dimensional itemsets,A survey and experimental study on privacy-preserving trajectory data publishing
Summarization and visualization of multi-level and multi-dimensional itemsets,COOL: A framework for conversational OLAP
Summarization and visualization of multi-level and multi-dimensional itemsets,Colossal trajectory mining: a unifying approach to mine behavioral mobility patterns
Summarization and visualization of multi-level and multi-dimensional itemsets,Personalization of OLAP queries for hierarchical visualization under constraints
Summarization and visualization of multi-level and multi-dimensional itemsets,Serviz: A Visual Analytics System for the Analysis of Sequential Rules and its Application to Airport Ground Handling Operations
Summarization and visualization of multi-level and multi-dimensional itemsets,Mining the colossal patterns using ISSA based KMC with VGHHO clustering model for high dimensional data
Summarization and visualization of multi-level and multi-dimensional itemsets,Colossal Trajectory Mining Semantic Co-movement Pattern Mining
Summarization and visualization of multi-level and multi-dimensional itemsets,Study of effective mining algorithms for frequent itemsets
Summarization and visualization of multi-level and multi-dimensional itemsets,SeRViz: an interactive visualization framework for the analysis of sequential rules and frequent itemsets
Summarization and visualization of multi-level and multi-dimensional itemsets,Multidimensional heterogeneous medical data push in intelligent cloud collaborative management system
Summarization and visualization of multi-level and multi-dimensional itemsets,Conversational OLAP
Summarization and visualization of multi-level and multi-dimensional itemsets,Augmenting the Knowledge Pyramid with Unconventional Data and Advanced Analytics
Summarization and visualization of multi-level and multi-dimensional itemsets,A study on privacy protection techniques for spatiotemporal data
Suggesting assess queries for interactive analysis of multidimensional data,VOOL: A modular insight-based framework for vocalizing OLAP sessions
Suggesting assess queries for interactive analysis of multidimensional data,The whys and wherefores of cubes
Suggesting assess queries for interactive analysis of multidimensional data,Explaining cube measures through Intentional Analytics
Suggesting assess queries for interactive analysis of multidimensional data,"Leveraging users' behavior, intentions and interests for enhancing Exploratory Data Analysis and Data Narration"
Augmented Business Intelligence.,HAMLET: A framework for Human-centered AutoML via Structured Argumentation
Augmented Business Intelligence.,COOL: A framework for conversational OLAP
Augmented Business Intelligence.,A-BI+: A framework for augmented business intelligence
Augmented Business Intelligence.,mRAT-SQL+ GAP: a Portuguese text-to-SQL transformer
Augmented Business Intelligence.,Towards conversational OLAP
Augmented Business Intelligence.,Conversational OLAP
Augmented Business Intelligence.,Augmenting the Knowledge Pyramid with Unconventional Data and Advanced Analytics
Augmented Business Intelligence.,Progettazione e prototipazione di un framework per Conversational OLAP
Colossal trajectory mining: a unifying approach to mine behavioral mobility patterns,Particle filtering supported probability density estimation of mobility patterns
Colossal trajectory mining: a unifying approach to mine behavioral mobility patterns,Colossal Trajectory Mining Semantic Co-movement Pattern Mining
Colossal trajectory mining: a unifying approach to mine behavioral mobility patterns,Grid-Based Index of Spatiotemporal Data for AIS Trajectories
Colossal trajectory mining: a unifying approach to mine behavioral mobility patterns,Clustering for Discovering Colossal Patterns in High-Dimensional Data
Colossal trajectory mining: a unifying approach to mine behavioral mobility patterns,GS-FFO Based Meta-Heuristic Clustering for Discovering Colossal Patterns in High-Dimensional Data
A Similarity Function for Multi-Level and Multi-Dimensional Itemsets,Summarization and visualization of multi-level and multi-dimensional itemsets
