Paper title,Citing paper title
Summarization and visualization of multi-level and multi-dimensional itemsets,COOL: A framework for conversational OLAP
Summarization and visualization of multi-level and multi-dimensional itemsets,A survey and experimental study on privacy-preserving trajectory data publishing
Summarization and visualization of multi-level and multi-dimensional itemsets,Study of effective mining algorithms for frequent itemsets
Summarization and visualization of multi-level and multi-dimensional itemsets,SeRViz: an interactive visualization framework for the analysis of sequential rules and frequent itemsets
Summarization and visualization of multi-level and multi-dimensional itemsets,Multidimensional heterogeneous medical data push in intelligent cloud collaborative management system
Summarization and visualization of multi-level and multi-dimensional itemsets,Augmenting the Knowledge Pyramid with Unconventional Data and Advanced Analytics
Summarization and visualization of multi-level and multi-dimensional itemsets,Conversational OLAP
Summarization and visualization of multi-level and multi-dimensional itemsets,Serviz: A Visual Analytics System for the Analysis of Sequential Rules and its Application to Airport Ground Handling Operations
COOL: A framework for conversational OLAP,HAMLET: A framework for Human-centered AutoML via Structured Argumentation
COOL: A framework for conversational OLAP,Suggesting assess queries for interactive analysis of multidimensional data
COOL: A framework for conversational OLAP,Insight-Based Vocalization of OLAP Sessions
COOL: A framework for conversational OLAP,Insight-Based Vocalization of OLAP Sessions
COOL: A framework for conversational OLAP,Augmenting the Knowledge Pyramid with Unconventional Data and Advanced Analytics
COOL: A framework for conversational OLAP,Conversational OLAP
COOL: A framework for conversational OLAP,Describing Multidimensional Data Through Highlights
COOL: A framework for conversational OLAP,Faster Access Of Credit Cards Through Data Cube Technology
Optimizing execution plans in a multistore,Cost-based Optimization of Multistore Query Plans
Optimizing execution plans in a multistore,HAMLET: A framework for Human-centered AutoML via Structured Argumentation
Optimizing execution plans in a multistore,Towards Human-centric AutoML via Logic and Argumentation.
Cost-based Optimization of Multistore Query Plans,Database management system performance comparisons: A systematic survey
Towards a conceptual model for data narratives,Three trajectories for narrative visualisation
Towards a conceptual model for data narratives,Intelligent narrative summaries: from indicative to informative summarization
Towards a conceptual model for data narratives,Towards enhancing database education: Natural language generation meets query execution plans
Towards a conceptual model for data narratives,"Why Did the “Missing Middle” Miss the Train? An Actors-In-Systems Exploration of Barriers to Intensified Family Housing in Waterloo Region, Canada"
Towards a conceptual model for data narratives,Unidata-A Modern Master Data Management Platform.
Towards a conceptual model for data narratives,Refugee Data Narratives
Towards a conceptual model for data narratives,A data narrative about tuberculosis pandemic in Gabon.
Towards a conceptual model for data narratives,Generating Personalized Data Narrations from EDA Notebooks.
Towards a conceptual model for data narratives,Data Narration for the People: Challenges and Opportunities
Towards a conceptual model for data narratives,Data Narrative Crafting via a Comprehensive and Well-Founded Process
Towards a conceptual model for data narratives,Narrative Visualizations Best Practices and Evaluation: A Systematic Mapping Study
