Cited paper title,Cited paper eid,Citing paper title,Citing paper eid,Cited paper link,Citing paper link
A Survey and Experimental Study on Privacy-Preserving Trajectory Data Publishing,2-s2.0-85132525373,A privacy-aware visual query approach for location-based data,2-s2.0-85165625550,https://www.scopus.com/record/display.uri?eid=2-s2.0-85132525373&origin=resultslist,https://www.scopus.com/record/display.uri?eid=2-s2.0-85165625550&origin=resultslist
A Survey and Experimental Study on Privacy-Preserving Trajectory Data Publishing,2-s2.0-85132525373,Efficient Frequency-Based Randomization for Spatial Trajectories Under Differential Privacy,2-s2.0-85174857113,https://www.scopus.com/record/display.uri?eid=2-s2.0-85132525373&origin=resultslist,https://www.scopus.com/record/display.uri?eid=2-s2.0-85174857113&origin=resultslist
A Survey and Experimental Study on Privacy-Preserving Trajectory Data Publishing,2-s2.0-85132525373,Evolutionary Dynamic Database Partitioning Optimization for Privacy and Utility,2-s2.0-85167802153,https://www.scopus.com/record/display.uri?eid=2-s2.0-85132525373&origin=resultslist,https://www.scopus.com/record/display.uri?eid=2-s2.0-85167802153&origin=resultslist
A Survey and Experimental Study on Privacy-Preserving Trajectory Data Publishing,2-s2.0-85132525373,LDPTrace: Locally Differentially Private Trajectory Synthesis,2-s2.0-85153584578,https://www.scopus.com/record/display.uri?eid=2-s2.0-85132525373&origin=resultslist,https://www.scopus.com/record/display.uri?eid=2-s2.0-85153584578&origin=resultslist
A Survey and Experimental Study on Privacy-Preserving Trajectory Data Publishing,2-s2.0-85132525373,PUTS: Privacy-Preserving and Utility-Enhancing Framework for Trajectory Synthesization,2-s2.0-85162871531,https://www.scopus.com/record/display.uri?eid=2-s2.0-85132525373&origin=resultslist,https://www.scopus.com/record/display.uri?eid=2-s2.0-85162871531&origin=resultslist
Cost-based Optimization of Multistore Query Plans,2-s2.0-85139405955,Database management system performance comparisons: A systematic literature review,2-s2.0-85177177518,https://www.scopus.com/record/display.uri?eid=2-s2.0-85139405955&origin=resultslist,https://www.scopus.com/record/display.uri?eid=2-s2.0-85177177518&origin=resultslist
Making data platforms smarter with MOSES,2-s2.0-85109035166,Conceptual Formalization of Massive Storage for Advancing Decision-Making with Data Analytics,2-s2.0-85163931063,https://www.scopus.com/record/display.uri?eid=2-s2.0-85109035166&origin=resultslist,https://www.scopus.com/record/display.uri?eid=2-s2.0-85163931063&origin=resultslist
Towards a foundational API for resilient distributed systems design,2-s2.0-85035209468,Addressing Collective Computations Efficiency: Towards a Platform-level Reinforcement Learning Approach,2-s2.0-85142336363,https://www.scopus.com/record/display.uri?eid=2-s2.0-85035209468&origin=resultslist,https://www.scopus.com/record/display.uri?eid=2-s2.0-85142336363&origin=resultslist
Towards a foundational API for resilient distributed systems design,2-s2.0-85035209468,Distributed applications and interoperable systems,2-s2.0-84928253676,https://www.scopus.com/record/display.uri?eid=2-s2.0-85035209468&origin=resultslist,https://www.scopus.com/record/display.uri?eid=2-s2.0-84928253676&origin=resultslist
Towards a foundational API for resilient distributed systems design,2-s2.0-85035209468,Holomorphic differentials of Klein four covers,2-s2.0-85151817306,https://www.scopus.com/record/display.uri?eid=2-s2.0-85035209468&origin=resultslist,https://www.scopus.com/record/display.uri?eid=2-s2.0-85151817306&origin=resultslist
Towards a foundational API for resilient distributed systems design,2-s2.0-85035209468,On merging hidden Markov models with deformable templates,2-s2.0-0029530383,https://www.scopus.com/record/display.uri?eid=2-s2.0-85035209468&origin=resultslist,https://www.scopus.com/record/display.uri?eid=2-s2.0-0029530383&origin=resultslist
Trajectory-Based Spatiotemporal Entity Linking,2-s2.0-85096846619,Efficient Frequency-Based Randomization for Spatial Trajectories Under Differential Privacy,2-s2.0-85174857113,https://www.scopus.com/record/display.uri?eid=2-s2.0-85096846619&origin=resultslist,https://www.scopus.com/record/display.uri?eid=2-s2.0-85174857113&origin=resultslist
